0.0,0.2537,0.0
0.01,0.2612,0.0017
0.02,0.2684,0.0036
0.03,0.2751,0.006
0.04,0.2812,0.0085
0.05,0.2832,0.009
0.06,0.2851,0.0122
0.07,0.2875,0.0131
0.08,0.2923,0.0133
0.09,0.2935,0.0183
0.1,0.2984,0.0178
0.11,0.298,0.0196
0.12,0.2999,0.024
0.13,0.3046,0.0208
0.14,0.3075,0.0225
0.15,0.3049,0.0242
0.16,0.3047,0.0269
0.17,0.3061,0.0296
0.18,0.3111,0.0259
0.19,0.3148,0.0286
0.2,0.3144,0.0307
0.21,0.3136,0.0324
0.22,0.3121,0.0354
0.23,0.3142,0.0376
0.24,0.3173,0.0366
0.25,0.3194,0.0352
0.26,0.3232,0.0345
0.27,0.3247,0.0359
0.28,0.3278,0.0367
0.29,0.3249,0.039
0.3,0.3226,0.0392
0.31,0.3235,0.0448
0.32,0.3201,0.0445
0.33,0.3254,0.047
0.34,0.3242,0.0496
0.35,0.3275,0.0498
0.36,0.3309,0.0498
0.37,0.3314,0.0465
0.38,0.3359,0.0452
0.39,0.3388,0.0464
0.4,0.3373,0.0486
0.41,0.3414,0.0503
0.42,0.3414,0.0517
0.43,0.3379,0.0503
0.44,0.3346,0.0499
0.45,0.3365,0.0539
0.46,0.3363,0.0586
0.47,0.3326,0.0592
0.48,0.3337,0.0607
0.49,0.338,0.0615
0.5,0.3378,0.0647
0.51,0.3384,0.0672
0.52,0.3392,0.069
0.53,0.3436,0.0644
0.54,0.344,0.0666
0.55,0.3477,0.0663
0.56,0.3472,0.0645
0.57,0.3486,0.062
0.58,0.3522,0.0623
0.59,0.3556,0.0636
0.6,0.3526,0.0655
0.61,0.3579,0.069
0.62,0.3594,0.071
0.63,0.3553,0.0715
0.64,0.3535,0.0689
0.65,0.3516,0.0664
0.66,0.351,0.0694
0.67,0.3498,0.073
0.68,0.3526,0.0754
0.69,0.3508,0.0792
0.7,0.3488,0.0768
0.71,0.3462,0.0782
0.72,0.3456,0.0809
0.73,0.3466,0.085
0.74,0.3519,0.083
0.75,0.3542,0.0876
0.76,0.3517,0.0893
0.77,0.3497,0.0905
0.78,0.3522,0.0934
0.79,0.3523,0.0973
0.8,0.3561,0.0923
0.81,0.3577,0.0907
0.82,0.3616,0.0902
0.83,0.3627,0.0915
0.84,0.3618,0.0934
0.85,0.3642,0.0925
0.86,0.3668,0.0935
0.87,0.3708,0.0907
0.88,0.3659,0.0886
0.89,0.3699,0.0895
0.9,0.3709,0.0881
0.91,0.3729,0.0892
0.92,0.375,0.0887
0.93,0.3765,0.0909
0.94,0.3737,0.0929
0.95,0.3778,0.0956
0.96,0.3798,0.1001
0.97,0.3815,0.1006
0.98,0.3774,0.102
0.99,0.3781,0.0976
1.0,0.3724,0.0967
1.01,0.3721,0.0936
1.02,0.3704,0.0945
1.03,0.3702,0.0964
